Nodes;;;;
ID;Group;Hierarchy;;
MOBGEN;0;0;;
Exploration;1;1;;
Creation;2;1;;
Accuracy;3;1;;
Evangelism;4;1;;
Collaboration;5;1;;
Curiosity;1;2;;
Inspiration;1;2;;
Uncover;1;2;;
Discover;1;2;;
Try;1;2;;
Build and test;1;2;;
Fail fast;1;2;;
Iterate;1;2;;
Builders;2;2;;
Makers;2;2;;
Hackers;2;2;;
Creators;2;2;;
Life;2;2;;
Precise design;3;2;;
Squeaky clean code;3;2;;
Flawless experience;3;2;;
Timely delivery;3;2;;
Live the product;4;2;;
Own it;4;2;;
Promote it;4;2;;
Love it;4;2;;
Spread the word;4;2;;
Commitment;5;2;;
Team of experts;5;2;;
Working together;5;2;;
Fun;5;2;;
Positive;5;2;;
Informal environment;5;2;;
;;;;
Links;;;;
Source;Target;LineThickness;;
MOBGEN;Exploration;2;;
MOBGEN;Creation;2;;
MOBGEN;Accuracy;2;;
MOBGEN;Evangelism;2;;
MOBGEN;Collaboration;2;;
Exploration;Curiosity;1;;
Exploration;Inspiration;1;;
Exploration;Uncover;1;;
Exploration;Discover;1;;
Exploration;Try;1;;
Exploration;Build and test;1;;
Exploration;Fail fast;1;;
Exploration;Iterate;1;;
Creation;Builders;1;;
Creation;Makers;1;;
Creation;Hackers;1;;
Creation;Creators;1;;
Creation;Life;1;;
Accuracy;Precise design;1;;
Accuracy;Squeaky clean code;1;;
Accuracy;Flawless experience;1;;
Accuracy;Timely delivery;1;;
Evangelism;Live the product;1;;
Evangelism;Own it;1;;
Evangelism;Promote it;1;;
Evangelism;Love it;1;;
Evangelism;Spread the word;1;;
Collaboration;Commitment;1;;
Collaboration;Team of experts;1;;
Collaboration;Working together;1;;
Collaboration;Fun;1;;
Collaboration;Positive;1;;
Collaboration;Informal environment;1;;
