Nodes;;;;
ID;Group;;;
Exploration;1;;;
Creation;2;;;
Accuracy;3;;;
Evangelism;4;;;
Collaboration;5;;;
Curiosity;1;;;
Inspiration;1;;;
Uncover;1;;;
Discover;1;;;
Try;1;;;
Build and test;1;;;
Fail fast;1;;;
Iterate;1;;;
Builders;2;;;
Makers;2;;;
Hackers;2;;;
Creators;2;;;
Life;2;;;
Precise design;3;;;
Squeaky clean code;3;;;
Flawless experience;3;;;
Timely delivery;3;;;
Live the product;4;;;
Own it;4;;;
Promote it;4;;;
Love it;4;;;
Spread the word;4;;;
Commitment;5;;;
Team of experts;5;;;
Working together;5;;;
Fun;5;;;
Positive;5;;;
Informal environment;5;;;
;;;;
Links;;;;
Source;Target;LineThickness;;
Exploration;Curiosity;1;;
Exploration;Inspiration;1;;
Exploration;Uncover;1;;
Exploration;Discover;1;;
Exploration;Try;1;;
Exploration;Build and test;1;;
Exploration;Fail fast;1;;
Exploration;Iterate;1;;
Creation;Builders;1;;
Creation;Makers;1;;
Creation;Hackers;1;;
Creation;Creators;1;;
Creation;Life;1;;
Accuracy;Precise design;1;;
Accuracy;Squeaky clean code;1;;
Accuracy;Flawless experience;1;;
Accuracy;Timely delivery;1;;
Evangelism;Live the product;1;;
Evangelism;Own it;1;;
Evangelism;Promote it;1;;
Evangelism;Love it;1;;
Evangelism;Spread the word;1;;
Collaboration;Commitment;1;;
Collaboration;Team of experts;1;;
Collaboration;Working together;1;;
Collaboration;Fun;1;;
Collaboration;Positive;1;;
Collaboration;Informal environment;1;;
