Nodes;;;;
ID;Topic;hierarchy;;
MOBGEN;MOBGEN;0;;
Exploration;MOBGEN, Values;1;;
Creation;MOBGEN, Values;1;;
Accuracy;MOBGEN, Values;1;;
Evangelism;MOBGEN, Values;1;;
Collaboration;MOBGEN, Values;1;;
Curiosity;Values;2;;
Inspiration;Values;2;;
Uncover;Values;2;;
Discover;Values;2;;
Try;Values, Materials;2;;
Build and test;Values;2;;
Fail fast;Values;2;;
Iterate;Values;2;;
Builders;Values;2;;
Makers;Values, Tools;2;;
Hackers;Values;2;;
Creators;Values;2;;
Life;Values;2;;
Precise design;Values, Activities;2;;
Squeaky clean code;Values;2;;
Flawless experience;Values;2;;
Timely delivery;Values;2;;
Live the product;Values;2;;
Own it;Values;2;;
Promote it;Values, Promotion;2;;
Love it;Values;2;;
Spread the word;Values;2;;
Commitment;Values;2;;
Team of experts;Values;2;;
Working together;Values, Methods;2;;
Fun;Values;2;;
Positive;Values;2;;
Informal environment;Values;2;;
Wood;Materials;3;;
Plastics;Materials;3;;
Machines;Tools;3;;
Robots;Tools;3;;
Measuring;Activities;3;;
Double check;Activities;3;;
Posters;Promotion;3;;
Spoken word;Promotion;3;;
Brainstorm;Methods;3;;
Discussion;Methods;3;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Links;;;;
Source;Target;LineThickness;;
MOBGEN;Exploration;2;;
MOBGEN;Creation;2;;
MOBGEN;Accuracy;2;;
MOBGEN;Evangelism;2;;
MOBGEN;Collaboration;2;;
Exploration;Curiosity;1;;
Exploration;Inspiration;1;;
Exploration;Uncover;1;;
Exploration;Discover;1;;
Exploration;Try;1;;
Exploration;Build and test;1;;
Exploration;Fail fast;1;;
Exploration;Iterate;1;;
Creation;Builders;1;;
Creation;Makers;1;;
Creation;Hackers;1;;
Creation;Creators;1;;
Creation;Life;1;;
Accuracy;Precise design;1;;
Accuracy;Squeaky clean code;1;;
Accuracy;Flawless experience;1;;
Accuracy;Timely delivery;1;;
Evangelism;Live the product;1;;
Evangelism;Own it;1;;
Evangelism;Promote it;1;;
Evangelism;Love it;1;;
Evangelism;Spread the word;1;;
Collaboration;Commitment;1;;
Collaboration;Team of experts;1;;
Collaboration;Working together;1;;
Collaboration;Fun;1;;
Collaboration;Positive;1;;
Collaboration;Informal environment;1;;
